area,time_start,time_end,date,hour,price,currency,unit
SE1,2026-02-01 10:30:00+01:00,2026-02-01 10:45:00+01:00,2026-02-01,10.0,0.62856,SEK,SEK/kWh
SE1,2026-02-01 10:45:00+01:00,2026-02-01 11:00:00+01:00,2026-02-01,10.0,0.64729,SEK,SEK/kWh
SE1,2026-02-01 11:00:00+01:00,2026-02-01 11:15:00+01:00,2026-02-01,11.0,0.62401,SEK,SEK/kWh
SE1,2026-02-01 11:15:00+01:00,2026-02-01 11:30:00+01:00,2026-02-01,11.0,0.61745,SEK,SEK/kWh
SE1,2026-02-01 11:30:00+01:00,2026-02-01 11:45:00+01:00,2026-02-01,11.0,0.62348,SEK,SEK/kWh
SE1,2026-02-01 11:45:00+01:00,2026-02-01 12:00:00+01:00,2026-02-01,11.0,0.74071,SEK,SEK/kWh
SE1,2026-02-01 12:00:00+01:00,2026-02-01 12:15:00+01:00,2026-02-01,12.0,0.57101,SEK,SEK/kWh
SE1,2026-02-01 12:15:00+01:00,2026-02-01 12:30:00+01:00,2026-02-01,12.0,0.62084,SEK,SEK/kWh
SE1,2026-02-01 12:30:00+01:00,2026-02-01 12:45:00+01:00,2026-02-01,12.0,0.6602,SEK,SEK/kWh
SE1,2026-02-01 12:45:00+01:00,2026-02-01 13:00:00+01:00,2026-02-01,12.0,0.75626,SEK,SEK/kWh
SE1,2026-02-01 13:00:00+01:00,2026-02-01 13:15:00+01:00,2026-02-01,13.0,0.61047,SEK,SEK/kWh
SE1,2026-02-01 13:15:00+01:00,2026-02-01 13:30:00+01:00,2026-02-01,13.0,0.63607,SEK,SEK/kWh
SE1,2026-02-01 13:30:00+01:00,2026-02-01 13:45:00+01:00,2026-02-01,13.0,0.6894,SEK,SEK/kWh
SE1,2026-02-01 13:45:00+01:00,2026-02-01 14:00:00+01:00,2026-02-01,13.0,0.75976,SEK,SEK/kWh
SE1,2026-02-01 14:00:00+01:00,2026-02-01 14:15:00+01:00,2026-02-01,14.0,0.61968,SEK,SEK/kWh
SE1,2026-02-01 14:15:00+01:00,2026-02-01 14:30:00+01:00,2026-02-01,14.0,0.63618,SEK,SEK/kWh
SE1,2026-02-01 14:30:00+01:00,2026-02-01 14:45:00+01:00,2026-02-01,14.0,0.66707,SEK,SEK/kWh
SE1,2026-02-01 14:45:00+01:00,2026-02-01 15:00:00+01:00,2026-02-01,14.0,0.7807,SEK,SEK/kWh
SE1,2026-02-01 15:00:00+01:00,2026-02-01 15:15:00+01:00,2026-02-01,15.0,0.63036,SEK,SEK/kWh
SE1,2026-02-01 15:15:00+01:00,2026-02-01 15:30:00+01:00,2026-02-01,15.0,0.67004,SEK,SEK/kWh
SE1,2026-02-01 15:30:00+01:00,2026-02-01 15:45:00+01:00,2026-02-01,15.0,0.69035,SEK,SEK/kWh
SE1,2026-02-01 15:45:00+01:00,2026-02-01 16:00:00+01:00,2026-02-01,15.0,0.72791,SEK,SEK/kWh
SE1,2026-02-01 16:00:00+01:00,2026-02-01 16:15:00+01:00,2026-02-01,16.0,0.73965,SEK,SEK/kWh
SE1,2026-02-01 16:15:00+01:00,2026-02-01 16:30:00+01:00,2026-02-01,16.0,0.74949,SEK,SEK/kWh
SE1,2026-02-01 16:30:00+01:00,2026-02-01 16:45:00+01:00,2026-02-01,16.0,0.73045,SEK,SEK/kWh
SE1,2026-02-01 16:45:00+01:00,2026-02-01 17:00:00+01:00,2026-02-01,16.0,0.76727,SEK,SEK/kWh
SE1,2026-02-01 17:00:00+01:00,2026-02-01 17:15:00+01:00,2026-02-01,17.0,0.82419,SEK,SEK/kWh
SE1,2026-02-01 17:15:00+01:00,2026-02-01 17:30:00+01:00,2026-02-01,17.0,0.82408,SEK,SEK/kWh
SE1,2026-02-01 17:30:00+01:00,2026-02-01 17:45:00+01:00,2026-02-01,17.0,0.63565,SEK,SEK/kWh
SE1,2026-02-01 17:45:00+01:00,2026-02-01 18:00:00+01:00,2026-02-01,17.0,0.51895,SEK,SEK/kWh
SE1,2026-02-01 18:00:00+01:00,2026-02-01 18:15:00+01:00,2026-02-01,18.0,0.85688,SEK,SEK/kWh
SE1,2026-02-01 18:15:00+01:00,2026-02-01 18:30:00+01:00,2026-02-01,18.0,0.67512,SEK,SEK/kWh
SE1,2026-02-01 18:30:00+01:00,2026-02-01 18:45:00+01:00,2026-02-01,18.0,0.64084,SEK,SEK/kWh
SE1,2026-02-01 18:45:00+01:00,2026-02-01 19:00:00+01:00,2026-02-01,18.0,0.49293,SEK,SEK/kWh
SE1,2026-02-01 19:00:00+01:00,2026-02-01 19:15:00+01:00,2026-02-01,19.0,0.66062,SEK,SEK/kWh
SE1,2026-02-01 19:15:00+01:00,2026-02-01 19:30:00+01:00,2026-02-01,19.0,0.67078,SEK,SEK/kWh
SE1,2026-02-01 19:30:00+01:00,2026-02-01 19:45:00+01:00,2026-02-01,19.0,0.63354,SEK,SEK/kWh
SE1,2026-02-01 19:45:00+01:00,2026-02-01 20:00:00+01:00,2026-02-01,19.0,0.61872,SEK,SEK/kWh
SE1,2026-02-01 20:00:00+01:00,2026-02-01 20:15:00+01:00,2026-02-01,20.0,0.70696,SEK,SEK/kWh
SE1,2026-02-01 20:15:00+01:00,2026-02-01 20:30:00+01:00,2026-02-01,20.0,0.60698,SEK,SEK/kWh
SE1,2026-02-01 20:30:00+01:00,2026-02-01 20:45:00+01:00,2026-02-01,20.0,0.61354,SEK,SEK/kWh
SE1,2026-02-01 20:45:00+01:00,2026-02-01 21:00:00+01:00,2026-02-01,20.0,0.62169,SEK,SEK/kWh
SE1,2026-02-01 21:00:00+01:00,2026-02-01 21:15:00+01:00,2026-02-01,21.0,0.77721,SEK,SEK/kWh
SE1,2026-02-01 21:15:00+01:00,2026-02-01 21:30:00+01:00,2026-02-01,21.0,0.5635,SEK,SEK/kWh
SE1,2026-02-01 21:30:00+01:00,2026-02-01 21:45:00+01:00,2026-02-01,21.0,0.55091,SEK,SEK/kWh
SE1,2026-02-01 21:45:00+01:00,2026-02-01 22:00:00+01:00,2026-02-01,21.0,0.56254,SEK,SEK/kWh
SE1,2026-02-01 22:00:00+01:00,2026-02-01 22:15:00+01:00,2026-02-01,22.0,0.54054,SEK,SEK/kWh
SE1,2026-02-01 22:15:00+01:00,2026-02-01 22:30:00+01:00,2026-02-01,22.0,0.60201,SEK,SEK/kWh
SE1,2026-02-01 22:30:00+01:00,2026-02-01 22:45:00+01:00,2026-02-01,22.0,0.65343,SEK,SEK/kWh
SE1,2026-02-01 22:45:00+01:00,2026-02-01 23:00:00+01:00,2026-02-01,22.0,0.62264,SEK,SEK/kWh
SE1,2026-02-01 23:00:00+01:00,2026-02-01 23:15:00+01:00,2026-02-01,23.0,0.57947,SEK,SEK/kWh
SE1,2026-02-01 23:15:00+01:00,2026-02-01 23:30:00+01:00,2026-02-01,23.0,0.60878,SEK,SEK/kWh
SE1,2026-02-01 23:30:00+01:00,2026-02-01 23:45:00+01:00,2026-02-01,23.0,0.60254,SEK,SEK/kWh
SE1,2026-02-01 23:45:00+01:00,2026-02-02 00:00:00+01:00,2026-02-01,23.0,0.59471,SEK,SEK/kWh
SE1,2026-02-02 00:00:00+01:00,2026-02-02 00:15:00+01:00,2026-02-02,0.0,0.58265,SEK,SEK/kWh
SE1,2026-02-02 00:15:00+01:00,2026-02-02 00:30:00+01:00,2026-02-02,0.0,0.56847,SEK,SEK/kWh
SE1,2026-02-02 00:30:00+01:00,2026-02-02 00:45:00+01:00,2026-02-02,0.0,0.62465,SEK,SEK/kWh
SE1,2026-02-02 00:45:00+01:00,2026-02-02 01:00:00+01:00,2026-02-02,0.0,0.64285,SEK,SEK/kWh
SE1,2026-02-02 01:00:00+01:00,2026-02-02 01:15:00+01:00,2026-02-02,1.0,0.60888,SEK,SEK/kWh
SE1,2026-02-02 01:15:00+01:00,2026-02-02 01:30:00+01:00,2026-02-02,1.0,0.61227,SEK,SEK/kWh
SE1,2026-02-02 01:30:00+01:00,2026-02-02 01:45:00+01:00,2026-02-02,1.0,0.69204,SEK,SEK/kWh
SE1,2026-02-02 01:45:00+01:00,2026-02-02 02:00:00+01:00,2026-02-02,1.0,0.73352,SEK,SEK/kWh
SE1,2026-02-02 02:00:00+01:00,2026-02-02 02:15:00+01:00,2026-02-02,2.0,0.61989,SEK,SEK/kWh
SE1,2026-02-02 02:15:00+01:00,2026-02-02 02:30:00+01:00,2026-02-02,2.0,0.74315,SEK,SEK/kWh
